Date,Mkt-RF,SMB,HML,RF
31/12/1999,-0.08,0.06,-0.09,0.02
03/01/2000,1.38,1.64,-0.97,0.02
04/01/2000,-2.97,1.73,1.41,0.02
05/01/2000,-1.89,0.02,2.3,0.02
06/01/2000,-0.38,0.72,0.65,0.02
07/01/2000,1.74,-0.43,-0.59,0.02
10/01/2000,1.09,0.15,-1.73,0.02
11/01/2000,0.14,0.34,-0.13,0.02
12/01/2000,-0.37,0.26,-0.31,0.02
13/01/2000,0.3,0.15,-0.84,0.02
14/01/2000,0.74,-0.6,-1.58,0.02
17/01/2000,0.71,1.25,-1.84,0.02
18/01/2000,-1.8,1.56,0.65,0.02
19/01/2000,-0.36,-0.16,0.21,0.02
20/01/2000,0.24,1.07,-1.16,0.02
21/01/2000,-1.03,0.66,-0.36,0.02
24/01/2000,0.22,0.36,-1.27,0.02
25/01/2000,-1.95,0.39,0.14,0.02
26/01/2000,0.8,-0.38,-0.82,0.02
27/01/2000,-0.02,-0.76,-0.26,0.02
28/01/2000,-1.62,0.69,-0.45,0.02
31/01/2000,-2.13,0.88,0.51,0.02
01/02/2000,1.31,-0.32,-1.11,0.02
02/02/2000,1.64,-0.75,-0.7,0.02
03/02/2000,2.5,-0.76,-0.32,0.02
04/02/2000,-0.27,0.97,-0.91,0.02
07/02/2000,-0.65,1.43,-0.18,0.02
08/02/2000,2.36,-0.71,-1.75,0.02
09/02/2000,0.79,0.54,-1.5,0.02
10/02/2000,-1.09,0.13,0.04,0.02
11/02/2000,0.3,0.47,-0.42,0.02
14/02/2000,-1.54,0.89,0.22,0.02
15/02/2000,-1.15,0.93,0.38,0.02
16/02/2000,1.25,-1.13,-0.15,0.02
17/02/2000,1.04,-0.66,-0.41,0.02
18/02/2000,-0.48,1.05,-0.38,0.02
21/02/2000,-0.73,0.12,0.69,0.02
22/02/2000,1.05,0.02,-0.46,0.02
23/02/2000,1.2,-0.71,-0.57,0.02
24/02/2000,-0.8,1.12,-1.01,0.02
25/02/2000,0.21,-0.75,-0.99,0.02
28/02/2000,-1.45,-0.04,1.01,0.02
29/02/2000,0.39,-0.76,-0.31,0.02
01/03/2000,1.97,0.19,-0.7,0.02
02/03/2000,1.18,-0.23,-1.24,0.02
03/03/2000,0.32,0.48,-1.41,0.02
06/03/2000,0.81,-0.15,-1.08,0.02
07/03/2000,-0.88,-0.13,0.79,0.02
08/03/2000,-0.83,0.07,0.88,0.02
09/03/2000,0.98,0.54,-1.6,0.02
10/03/2000,0.48,0.35,-1.48,0.02
13/03/2000,-2.01,0.21,1.68,0.02
14/03/2000,0.4,-0.66,0.42,0.02
15/03/2000,-2.38,-0.46,2.17,0.02
16/03/2000,1.47,-2.48,2.95,0.02
17/03/2000,1.09,0.7,-0.97,0.02
20/03/2000,0.93,-0.04,-1.2,0.02
21/03/2000,-1.45,-1.69,1.41,0.02
22/03/2000,0.17,-0.44,0,0.02
23/03/2000,0.36,-0.63,0.52,0.02
