NAME,Code,INDUSTRY GROUP,INDUSTRY GROUP,MNEMONIC,CURRENCY,GEOGRAPHIC DESCR.,ISIN CODE
3I GROUP,960338,109,Investment Trusts,III,Pound,UNITED KINGDOM,GB00B1YW4409
A P MOLLER MAERSK B,997863,99,Marine Transportation,DK:DSB,DK,DENMARK,DK0010244508
A2A,685120,169,Conv. Electricity,I:A2A,E,ITALY,IT0001233417
AAK,31938W,71,Food Products,W:AAK,SK,SWEDEN,SE0011337708
AALBERTS,749352,213,Elec. Eq: Control,H:AALB,E,NETHERLANDS,NL0000852564
ABB LTD N,922924,258,Electrical Components,S:ABBN,SF,SWITZERLAND,CH0012221716
ABN AMRO BANK,8721AT,102,Banks,H:ABN,E,NETHERLANDS,NL0011540547
ACCOR,929363,80,Hotels & Motels,F:AC,E,FRANCE,FR0000120404
ACKERMANS & VAN HAAREN,755087,113,Div. Fin. Services,B:ACK,E,BELGIUM,BE0003764785
ACS ACTIV.CONSTR.Y SERV.,539621,39,Construction,E:ACS,E,SPAIN,ES0167050915
ADECCO GROUP,992838,134,"Training, Emp. Agency",S:ADEN,SF,SWITZERLAND,CH0012138605
ADIDAS (XET),870874,153,Footwear,D:ADSX,E,GERMANY,DE000A1EWWW0
ADMIRAL GROUP,29549F,107,Prop. & Casualty Ins.,ADM,Pound,UNITED KINGDOM,GB00B02J6398
ADP,36066K,64,Transport Services,F:ADP,E,FRANCE,FR0010340141
ADYEN,9307KF,261,Transaction Process,H:ADYE,E,NETHERLANDS,NL0012969182
AEGON,922956,106,Life Insurance,H:AGN,E,NETHERLANDS,NL0000303709
AENA SME,89240U,64,Transport Services,E:AENA,E,SPAIN,ES0105046009
AGEAS (EX-FORTIS),929303,106,Life Insurance,B:AGS,E,BELGIUM,BE0974264930
AGGREKO,892907,258,Electrical Components,AGK,Pound,UNITED KINGDOM,GB00BK1PTB77
KONINKLIJKE AHOLD DELHAIZE,916642,88,Food Retail & Wsale,H:AD,E,NETHERLANDS,NL0011794037
AIB GROUP,904336,102,Banks,A5G,E,IRELAND,IE00BF0L3536
AIR FRANCE-KLM,929286,129,Airlines,F:UTA,E,FRANCE,FR0000031122
AIR LIQUIDE,923295,33,Specialty Chemicals,F:AIR,E,FRANCE,FR0000120073
AIRBUS,289361,98,Aerospace,F:AIRS,E,FRANCE,NL0000235190
AKER BP,51429U,50,Oil: Crude Producers,N:AKEP,NK,NORWAY,NO0010345853
AKZO NOBEL,912643,33,Specialty Chemicals,H:AKZA,E,NETHERLANDS,NL0013267909
ALCON (SWX) ORD SHS,94405Z,103,Medical Supplies,S:ALC,SF,SWITZERLAND,CH0432492467
ALFA LAVAL,25522V,213,Elec. Eq: Control,W:ALF,SK,SWEDEN,SE0000695876
ALLIANZ (XET),866033,141,Full Line Insurance,D:ALVX,E,GERMANY,DE0008404005
ALSTOM,682858,258,Electrical Components,F:ALOT,E,FRANCE,FR0010220475
ALTEN,692445,150,Computer Services,F:ALTE,E,FRANCE,FR0000071946
ALTRAN TECHNOLOGIES,756882,150,Computer Services,F:ATE,E,FRANCE,FR0000034639
