Date,STOXX EUROPE 600 E - PRICE INDEX
31/12/1999,379.49
03/01/2000,377.69
04/01/2000,362.7
05/01/2000,353.74
06/01/2000,352.209
07/01/2000,359.751
10/01/2000,365.393
11/01/2000,362.93
12/01/2000,362.92
13/01/2000,364.83
14/01/2000,373.633
17/01/2000,376.214
18/01/2000,368.301
19/01/2000,366.579
20/01/2000,365.64
21/01/2000,364.63
24/01/2000,366.453
25/01/2000,360.179
26/01/2000,364.276
27/01/2000,369.06
28/01/2000,368.382
31/01/2000,360.932
01/02/2000,366.708
02/02/2000,371.342
03/02/2000,376.291
04/02/2000,377.371
07/02/2000,374.201
08/02/2000,382.38
09/02/2000,382.352
10/02/2000,381.605
11/02/2000,381.411
14/02/2000,379.139
15/02/2000,371.303
16/02/2000,376.125
17/02/2000,379.952
18/02/2000,378.755
21/02/2000,374.483
22/02/2000,371.756
23/02/2000,376.979
24/02/2000,377.774
25/02/2000,385.338
28/02/2000,381.509
29/02/2000,386.008
01/03/2000,391.029
02/03/2000,398.982
03/03/2000,402.574
06/03/2000,405.495
07/03/2000,402.621
08/03/2000,398.349
09/03/2000,399.077
10/03/2000,402.257
13/03/2000,392.86
14/03/2000,393.572
15/03/2000,385.365
16/03/2000,390.383
17/03/2000,393.737
20/03/2000,397.394
21/03/2000,395.565
22/03/2000,396.326
23/03/2000,394
24/03/2000,402.362
27/03/2000,402.373
28/03/2000,403.558
29/03/2000,403.062
30/03/2000,391.655
31/03/2000,394.101
03/04/2000,386.995
04/04/2000,387.355
05/04/2000,377.516
06/04/2000,388.155
07/04/2000,393.39
10/04/2000,392.877
11/04/2000,384.958
12/04/2000,384.96
13/04/2000,384.946
14/04/2000,374.041
17/04/2000,368.15
18/04/2000,372.916
19/04/2000,378.868
20/04/2000,381.359
21/04/2000,381.359
24/04/2000,381.359
25/04/2000,385.039
26/04/2000,388.667
27/04/2000,385.968
28/04/2000,392.623
01/05/2000,392.623
02/05/2000,400.663
03/05/2000,395.5
04/05/2000,394.735
05/05/2000,395.339
08/05/2000,392.918
09/05/2000,386.371
10/05/2000,378.602
11/05/2000,384.564
12/05/2000,389.002
15/05/2000,384.55
16/05/2000,393.178
17/05/2000,387.482
18/05/2000,387.383
19/05/2000,375.784
22/05/2000,368.67
23/05/2000,370.708
24/05/2000,366.477
25/05/2000,374.104
26/05/2000,369.858
29/05/2000,373.553
30/05/2000,379.081
31/05/2000,380.236
01/06/2000,385.548
02/06/2000,394.834
05/06/2000,391.385
06/06/2000,388.905
07/06/2000,386.305
08/06/2000,386.247
09/06/2000,386.762
12/06/2000,386.598
13/06/2000,385.533
14/06/2000,389.301
15/06/2000,387.844
16/06/2000,385.491
19/06/2000,384.625
20/06/2000,388.098
21/06/2000,384.951
22/06/2000,383.98
23/06/2000,383.434
26/06/2000,383.201
27/06/2000,380.916
28/06/2000,381.502
29/06/2000,372.776
30/06/2000,376.743
03/07/2000,381.875
04/07/2000,381.848
05/07/2000,379.735
06/07/2000,380.609
07/07/2000,386.849
10/07/2000,385.832
11/07/2000,385.82
12/07/2000,388.684
13/07/2000,390.684
14/07/2000,391.772
17/07/2000,394.498
18/07/2000,391.32
19/07/2000,391.48
20/07/2000,394.308
21/07/2000,389.016
24/07/2000,389.236
25/07/2000,387.753
26/07/2000,386.598
27/07/2000,381.948
28/07/2000,379.855
31/07/2000,382.628
01/08/2000,382.917
02/08/2000,383.569
03/08/2000,378.905
04/08/2000,382.474
07/08/2000,385.437
08/08/2000,386.291
09/08/2000,389.9
10/08/2000,388.617
11/08/2000,389.28
14/08/2000,392.093
15/08/2000,391.312
16/08/2000,392.713
17/08/2000,390.748
18/08/2000,391.047
21/08/2000,391.626
22/08/2000,392.526
23/08/2000,392.036
24/08/2000,390.126
25/08/2000,391.712
28/08/2000,392.985
29/08/2000,392.012
30/08/2000,391.622
31/08/2000,394.957
01/09/2000,400.841
04/09/2000,404.279
05/09/2000,402.106
06/09/2000,401.289
07/09/2000,401.204
08/09/2000,395.473
11/09/2000,394.854
12/09/2000,392.999
13/09/2000,388.702
14/09/2000,392.058
15/09/2000,388.389
18/09/2000,386.749
19/09/2000,386.966
20/09/2000,382.084
21/09/2000,377.032
22/09/2000,376.186
25/09/2000,379.837
26/09/2000,376.631
27/09/2000,378.068
28/09/2000,376.839
29/09/2000,377.436
02/10/2000,379.917
03/10/2000,382.536
04/10/2000,380.595
05/10/2000,382.567
06/10/2000,380.452
09/10/2000,372.601
10/10/2000,373.3
11/10/2000,365.747
12/10/2000,368.228
13/10/2000,370.849
16/10/2000,373.414
17/10/2000,369.694
18/10/2000,367.21
19/10/2000,375.267
20/10/2000,377.5
23/10/2000,380.494
24/10/2000,388.14
25/10/2000,384.825
26/10/2000,381.362
27/10/2000,384.547
30/10/2000,385.291
31/10/2000,388.033
01/11/2000,387.662
02/11/2000,386.452
03/11/2000,386.519
06/11/2000,385.99
07/11/2000,386.85
08/11/2000,385.627
09/11/2000,381.956
10/11/2000,377.676
13/11/2000,372.333
14/11/2000,380.91
15/11/2000,382.839
16/11/2000,381.517
17/11/2000,380.385
20/11/2000,374.706
21/11/2000,377.389
22/11/2000,367.597
23/11/2000,371.306
24/11/2000,375.944
27/11/2000,377.471
28/11/2000,371.722
29/11/2000,370.322
30/11/2000,363.251
01/12/2000,366.967
04/12/2000,362.46
05/12/2000,371.68
06/12/2000,369.38
07/12/2000,368.626
08/12/2000,371.383
11/12/2000,378.354
12/12/2000,376.367
13/12/2000,375.573
14/12/2000,368.397
15/12/2000,361.669
18/12/2000,364.584
19/12/2000,367.869
20/12/2000,356.716
21/12/2000,353.074
22/12/2000,353.12
25/12/2000,353.12
26/12/2000,353.12
27/12/2000,358.507
28/12/2000,361.013
29/12/2000,359.79
01/01/2001,359.79
02/01/2001,354.83
03/01/2001,351.376
04/01/2001,356.543
05/01/2001,355.098
08/01/2001,353.647
09/01/2001,350.775
10/01/2001,348.831
11/01/2001,352.123
12/01/2001,353.845
15/01/2001,355.984
16/01/2001,351.043
17/01/2001,359.48
18/01/2001,357.986
19/01/2001,357.191
22/01/2001,357.174
23/01/2001,356.868
24/01/2001,360.577
25/01/2001,361.967
26/01/2001,361.356
29/01/2001,362.469
30/01/2001,361.484
31/01/2001,362.333
01/02/2001,358.621
02/02/2001,356.86
05/02/2001,356.554
06/02/2001,358.603
07/02/2001,354.234
08/02/2001,354.998
09/02/2001,350.287
12/02/2001,352.652
13/02/2001,354.126
14/02/2001,350.091
15/02/2001,354.683
16/02/2001,347.371
19/02/2001,345.832
20/02/2001,343.625
21/02/2001,340.914
22/02/2001,340.058
23/02/2001,333.863
26/02/2001,336.237
27/02/2001,336.805
28/02/2001,335.021
01/03/2001,331.996
02/03/2001,332.381
05/03/2001,335.964
06/03/2001,339.991
07/03/2001,339.873
08/03/2001,338.597
09/03/2001,334.742
12/03/2001,327.424
13/03/2001,324.344
14/03/2001,318.938
15/03/2001,324.609
16/03/2001,316.83
19/03/2001,314.192
20/03/2001,318.303
21/03/2001,313.047
22/03/2001,300.639
23/03/2001,307.141
26/03/2001,317.013
27/03/2001,323.74
28/03/2001,319.626
29/03/2001,320.123
30/03/2001,321.699
02/04/2001,320.158
03/04/2001,310.126
04/04/2001,311.173
05/04/2001,317.69
06/04/2001,316.679
09/04/2001,321.418
10/04/2001,329.269
11/04/2001,330.682
12/04/2001,329.745
13/04/2001,329.745
16/04/2001,329.745
17/04/2001,328.997
18/04/2001,336.702
19/04/2001,336.198
20/04/2001,333.214
23/04/2001,330.906
24/04/2001,332.303
25/04/2001,331.639
26/04/2001,333.33
27/04/2001,338.71
30/04/2001,342.016
01/05/2001,342.016
02/05/2001,339.313
03/05/2001,333.514
04/05/2001,336.166
07/05/2001,338.17
08/05/2001,338.261
09/05/2001,336.508
10/05/2001,342.563
11/05/2001,340.957
14/05/2001,335.388
15/05/2001,339.001
16/05/2001,339.516
17/05/2001,342.713
18/05/2001,346.09
21/05/2001,347.722
22/05/2001,350.742
23/05/2001,347.889
24/05/2001,347.711
25/05/2001,345.996
28/05/2001,346.411
29/05/2001,344.787
30/05/2001,340.826
31/05/2001,341.973
01/06/2001,341.573
04/06/2001,343.023
05/06/2001,345.84
06/06/2001,343.39
07/06/2001,342.981
08/06/2001,341.76
11/06/2001,338.966
12/06/2001,332.521
13/06/2001,335.074
14/06/2001,330.072
15/06/2001,327.889
18/06/2001,324.921
19/06/2001,326.522
20/06/2001,325.371
21/06/2001,325.667
22/06/2001,326.203
25/06/2001,325.954
26/06/2001,320.81
27/06/2001,321.665
28/06/2001,326.407
29/06/2001,329.353
02/07/2001,333.792
03/07/2001,328.922
04/07/2001,327.165
05/07/2001,325.274
06/07/2001,318.372
09/07/2001,317.865
10/07/2001,315.493
11/07/2001,310.781
12/07/2001,315.461
13/07/2001,317.167
16/07/2001,315.06
17/07/2001,311.92
18/07/2001,308.366
19/07/2001,313.41
20/07/2001,310.5
23/07/2001,311.2
24/07/2001,306.54
25/07/2001,302.24
26/07/2001,304.6
27/07/2001,310.002
30/07/2001,313.68
31/07/2001,316.945
01/08/2001,317.887
02/08/2001,317.92
03/08/2001,315.161
06/08/2001,314.87
07/08/2001,315.383
08/08/2001,311.48
09/08/2001,305.44
10/08/2001,303.186
13/08/2001,304.38
14/08/2001,308.22
15/08/2001,305.73
16/08/2001,302.28
17/08/2001,297.92
20/08/2001,298.01
21/08/2001,301.6
22/08/2001,300.5
23/08/2001,300.979
24/08/2001,305.61
27/08/2001,305.984
28/08/2001,303.172
29/08/2001,302.509
30/08/2001,296.614
31/08/2001,297.655
03/09/2001,294.713
04/09/2001,299.69
05/09/2001,295.649
06/09/2001,288.565
07/09/2001,281.175
10/09/2001,278.82
11/09/2001,261.5
12/09/2001,266.369
13/09/2001,268.68
14/09/2001,255.178
17/09/2001,260.792
18/09/2001,258.347
19/09/2001,252.074
20/09/2001,242.333
21/09/2001,235.903
24/09/2001,248.096
25/09/2001,251.096
26/09/2001,254.234
27/09/2001,257.707
28/09/2001,266.286
01/10/2001,259.894
02/10/2001,261.615
03/10/2001,263.365
04/10/2001,271.67
05/10/2001,270.507
08/10/2001,269.958
09/10/2001,269.317
10/10/2001,276.021
11/10/2001,280.185
12/10/2001,278.134
15/10/2001,273.29
16/10/2001,275.398
17/10/2001,281.875
18/10/2001,277.258
19/10/2001,273.105
22/10/2001,276.674
23/10/2001,283.73
24/10/2001,284.226
25/10/2001,279.22
26/10/2001,285.689
29/10/2001,279.782
30/10/2001,273.255
31/10/2001,277.408
01/11/2001,279.061
02/11/2001,280.349
05/11/2001,286.925
06/11/2001,286.769
07/11/2001,289.145
08/11/2001,294.29
09/11/2001,291.344
12/11/2001,285.036
13/11/2001,294.612
14/11/2001,294.086
15/11/2001,294.896
16/11/2001,296.882
19/11/2001,299.738
20/11/2001,296.245
21/11/2001,296.145
22/11/2001,298.225
23/11/2001,296.738
26/11/2001,296.76
27/11/2001,293.286
28/11/2001,289.523
29/11/2001,289.205
30/11/2001,288.949
03/12/2001,287.873
04/12/2001,291.416
05/12/2001,299.81
06/12/2001,300.624
07/12/2001,298.068
10/12/2001,293.583
11/12/2001,293.645
12/12/2001,290.499
13/12/2001,286.161
14/12/2001,283.716
17/12/2001,290.352
18/12/2001,290.243
19/12/2001,287.695
20/12/2001,286.075
21/12/2001,291.394
24/12/2001,291.898
25/12/2001,291.898
26/12/2001,291.898
27/12/2001,297.113
28/12/2001,298.73
31/12/2001,298.73
01/01/2002,298.73
02/01/2002,293.686
03/01/2002,299.086
04/01/2002,300.575
07/01/2002,297.769
08/01/2002,295.361
09/01/2002,295.24
10/01/2002,292.603
11/01/2002,294.614
14/01/2002,288.167
15/01/2002,290.925
16/01/2002,287.93
17/01/2002,291.257
18/01/2002,290.25
21/01/2002,288.628
22/01/2002,288.605
23/01/2002,291.04
24/01/2002,294.546
25/01/2002,293.509
28/01/2002,296.121
29/01/2002,291.964
30/01/2002,288.707
31/01/2002,292.446
01/02/2002,293.461
04/02/2002,289.988
05/02/2002,285.205
06/02/2002,282.331
07/02/2002,284.743
08/02/2002,284.343
11/02/2002,286.943
12/02/2002,286.841
13/02/2002,288.885
14/02/2002,291.7
15/02/2002,289.703
18/02/2002,288.003
19/02/2002,282.649
20/02/2002,280.852
21/02/2002,283.651
22/02/2002,280.889
25/02/2002,284.862
26/02/2002,286.873
27/02/2002,290.871
28/02/2002,289.835
01/03/2002,292.939
04/03/2002,298.64
05/03/2002,297.346
06/03/2002,297.708
07/03/2002,299.35
08/03/2002,301.365
11/03/2002,299.537
12/03/2002,297.357
13/03/2002,297.291
14/03/2002,297.249
15/03/2002,299.736
18/03/2002,301.389
19/03/2002,302.275
20/03/2002,299.448
21/03/2002,298.671
22/03/2002,300.316
25/03/2002,298.249
26/03/2002,298.769
27/03/2002,299.524
28/03/2002,303.038
29/03/2002,303.038
01/04/2002,303.038
02/04/2002,301.242
03/04/2002,300.788
04/04/2002,298.004
05/04/2002,298.001
08/04/2002,294.285
09/04/2002,294.64
10/04/2002,297.109
11/04/2002,292.316
12/04/2002,293.8
15/04/2002,295.778
16/04/2002,300.365
17/04/2002,300.25
18/04/2002,298.263
19/04/2002,298.539
22/04/2002,296.553
23/04/2002,295.651
24/04/2002,294.433
25/04/2002,291.42
26/04/2002,289.885
29/04/2002,288.995
30/04/2002,290.638
01/05/2002,290.638
02/05/2002,289.955
03/05/2002,287.543
06/05/2002,286.918
07/05/2002,283.864
08/05/2002,289.974
09/05/2002,289.004
10/05/2002,285.837
13/05/2002,288.023
14/05/2002,291.778
15/05/2002,292.886
16/05/2002,291.618
17/05/2002,289.262
20/05/2002,287.58
21/05/2002,287.479
22/05/2002,283.348
23/05/2002,283.978
24/05/2002,284.278
27/05/2002,284.397
28/05/2002,281.296
29/05/2002,280.223
30/05/2002,276.589
31/05/2002,279.031
03/06/2002,276.998
04/06/2002,271.816
05/06/2002,270.243
06/06/2002,269.031
07/06/2002,265.617
10/06/2002,266.184
11/06/2002,268.735
12/06/2002,262.941
13/06/2002,259.865
14/06/2002,253.298
17/06/2002,261.538
18/06/2002,259.927
19/06/2002,255.627
20/06/2002,250.135
21/06/2002,249.149
24/06/2002,243.255
25/06/2002,248.473
26/06/2002,243.662
27/06/2002,246.439
28/06/2002,254.036
01/07/2002,254.858
02/07/2002,247.699
03/07/2002,240.752
04/07/2002,245.496
05/07/2002,254.821
08/07/2002,253.719
09/07/2002,250.774
10/07/2002,243.361
11/07/2002,235.018
12/07/2002,234.855
15/07/2002,223.041
16/07/2002,222.613
17/07/2002,229.844
18/07/2002,233.163
19/07/2002,222.535
22/07/2002,212.629
23/07/2002,208.799
24/07/2002,205.391
25/07/2002,212.939
26/07/2002,215.1
29/07/2002,227.24
30/07/2002,226.102
31/07/2002,227.626
01/08/2002,218.162
02/08/2002,217.818
05/08/2002,211.38
06/08/2002,219.847
07/08/2002,217.326
08/08/2002,225.526
09/08/2002,228.561
12/08/2002,223.455
13/08/2002,225.657
14/08/2002,220.524
15/08/2002,226.966
16/08/2002,227.938
19/08/2002,234.305
20/08/2002,231.015
21/08/2002,233.126
22/08/2002,237.637
23/08/2002,234.578
26/08/2002,232.794
27/08/2002,236.864
28/08/2002,228.346
29/08/2002,224.547
30/08/2002,226.821
02/09/2002,222.753
03/09/2002,213.866
04/09/2002,215.118
05/09/2002,213.755
06/09/2002,220.224
09/09/2002,217.396
10/09/2002,222.925
11/09/2002,226.987
12/09/2002,219.11
13/09/2002,215.076
16/09/2002,214.832
17/09/2002,213.12
18/09/2002,205.481
19/09/2002,201.582
20/09/2002,202.255
23/09/2002,195.389
24/09/2002,192.332
25/09/2002,195.427
26/09/2002,204.013
27/09/2002,204.192
30/09/2002,194.756
01/10/2002,197.537
02/10/2002,203.103
03/10/2002,200.319
04/10/2002,196.438
07/10/2002,193.754
08/10/2002,190.838
09/10/2002,189.343
10/10/2002,193.443
11/10/2002,202.723
14/10/2002,200.763
15/10/2002,212.411
16/10/2002,209.299
17/10/2002,216.174
18/10/2002,215.055
21/10/2002,215.313
22/10/2002,213.365
23/10/2002,207.22
24/10/2002,212.327
25/10/2002,211.068
28/10/2002,213.563
29/10/2002,205.139
30/10/2002,210.086
31/10/2002,213.015
01/11/2002,210.475
04/11/2002,217.63
05/11/2002,218.391
06/11/2002,216.177
07/11/2002,212.21
08/11/2002,209.876
11/11/2002,208.555
12/11/2002,211.321
13/11/2002,209.649
14/11/2002,213.488
15/11/2002,214.595
18/11/2002,216.718
19/11/2002,215.582
20/11/2002,215.172
21/11/2002,221.841
22/11/2002,222.298
25/11/2002,220.853
26/11/2002,216.259
27/11/2002,221.425
28/11/2002,222.893
29/11/2002,222.469
02/12/2002,222.452
03/12/2002,217.903
04/12/2002,216.49
05/12/2002,214.405
06/12/2002,213.213
09/12/2002,208.887
10/12/2002,209.377
11/12/2002,211.68
12/12/2002,208.335
13/12/2002,205.631
16/12/2002,211.175
17/12/2002,208.277
18/12/2002,204.458
19/12/2002,203.808
20/12/2002,205.67
23/12/2002,206.13
24/12/2002,206.13
25/12/2002,206.13
26/12/2002,206.13
27/12/2002,199.833
30/12/2002,201.723
31/12/2002,201.723
01/01/2003,201.723
02/01/2003,209.288
03/01/2003,210.379
06/01/2003,210.801
07/01/2003,209.317
08/01/2003,206.329
09/01/2003,207.479
10/01/2003,207.818
13/01/2003,207.617
14/01/2003,208.583
15/01/2003,205.755
16/01/2003,205.615
17/01/2003,200.929
20/01/2003,198.302
21/01/2003,196.277
22/01/2003,192.846
23/01/2003,191.422
24/01/2003,189.624
27/01/2003,183.343
28/01/2003,183.675
29/01/2003,184.348
30/01/2003,188.755
31/01/2003,188.999
03/02/2003,192.12
04/02/2003,186.136
05/02/2003,189.752
06/02/2003,185.434
07/02/2003,183.766
10/02/2003,182.92
